XA1, XA2, YA1, YA2, UTFA, FILENAME, XB1, XB2, YB1, YB2, IoU, 
452, 544, 24, 133, 79e6, navis-Ming-Qing_18341_0005-line-003-y1=269-y2=419.xml, 455, 541, 25, 132, 0.917630634224, 
1324, 1399, 17, 95, 5408, navis-Ming-Qing_18341_0005-line-004-y1=410-y2=560.xml, 1326, 1408, 15, 127, 0.609635974304, 
1840, 1922, 27, 129, 4f55, navis-Ming-Qing_18341_0005-line-004-y1=410-y2=560.xml, 1842, 1923, 28, 125, 0.917149273136, 
634, 717, 34, 133, 7121, navis-Ming-Qing_18341_0005-line-004-y1=410-y2=560.xml, 636, 713, 35, 137, 0.885161290323, 
1440, 1514, 44, 128, 751f, navis-Ming-Qing_18341_0006-line-002-y1=242-y2=391.xml, 1442, 1512, 45, 129, 0.924276169265, 
1108, 1183, 31, 132, 5929, navis-Ming-Qing_18341_0006-line-002-y1=242-y2=391.xml, 1110, 1179, 32, 132, 0.910891089109, 
2049, 2123, 29, 127, 5929, navis-Ming-Qing_18341_0006-line-005-y1=665-y2=814.xml, 2051, 2121, 30, 126, 0.926640926641, 
126, 205, 22, 118, 592B, navis-Ming-Qing_18341_0006-line-008-y1=1085-y2=1233.xml, 128, 206, 23, 115, 0.922876498176, 
1418, 1500, 43, 117, 7531, navis-Ming-Qing_18341_0006-line-009-y1=1224-y2=1377.xml, 1420, 1497, 44, 114, 0.888266315096, 
921, 975, 22, 119, 5165, navis-Ming-Qing_18341_0006-line-009-y1=1224-y2=1377.xml, 839, 1007, 9, 116, 0.279854449223, 
1078, 1146, 48, 127, 77f3, navis-Ming-Qing_18341_0006-line-009-y1=1224-y2=1377.xml, 1081, 1144, 48, 124, 0.891288160834, 
1870, 1936, 33, 124, 6b64, navis-Ming-Qing_18341_0006-line-009-y1=1224-y2=1377.xml, 1872, 1933, 17, 121, 0.768834144944, 
1339, 1416, 28, 92, 543e, navis-Ming-Qing_18341_0007-line-002-y1=125-y2=271.xml, 1342, 1413, 29, 132, 0.575823892894, 
2111, 2182, 43, 126, 751f, navis-Ming-Qing_18341_0007-line-002-y1=125-y2=271.xml, 2113, 2201, 2, 126, 0.516970572305, 
383, 460, 23, 118, 4e4b, navis-Ming-Qing_18341_0007-line-002-y1=125-y2=271.xml, 385, 457, 24, 120, 0.907360235957, 
1930, 2004, 37, 124, 4E16, navis-Ming-Qing_18341_0007-line-007-y1=827-y2=978.xml, 1932, 2001, 38, 121, 0.889561975769, 
451, 540, 24, 124, 53f2, navis-Ming-Qing_18341_0007-line-008-y1=969-y2=1117.xml, 454, 537, 25, 121, 0.895280898876, 
1761, 1841, 59, 122, 6708, navis-Ming-Qing_18341_0007-line-008-y1=969-y2=1117.xml, 1764, 1837, 60, 119, 0.854563492063, 
1069, 1151, 38, 124, 5b50, navis-Ming-Qing_18341_0007-line-008-y1=969-y2=1117.xml, 1071, 1147, 39, 122, 0.894498014748, 
2024, 2094, 35, 123, 751f, navis-Ming-Qing_18341_0008-line-002-y1=134-y2=284.xml, 2026, 2094, 36, 120, 0.927272727273, 
1167, 1243, 30, 115, 800c, navis-Ming-Qing_18341_0008-line-004-y1=416-y2=566.xml, 1170, 1240, 31, 112, 0.877708978328, 
2033, 2104, 40, 120, 800c, navis-Ming-Qing_18341_0008-line-004-y1=416-y2=566.xml, 2036, 2100, 41, 117, 0.856338028169, 
823, 891, 30, 124, 5973, navis-Ming-Qing_18341_0008-line-004-y1=416-y2=566.xml, 825, 888, 31, 121, 0.887046307885, 
222, 283, 32, 124, -Min, navis-Ming-Qing_18341_0008-line-005-y1=557-y2=703.xml, 225, 283, 33, 121, 0.909479686386, 
1024, 1111, 17, 69, 4e2d, navis-Ming-Qing_18341_0010-line-004-y1=355-y2=447.xml, 1026, 1107, 18, 66, 0.859416445623, 
227, 308, 31, 130, 4f55, navis-Ming-Qing_18341_0010-line-006-y1=562-y2=709.xml, 227, 304, 32, 132, 0.923283983849, 
226, 298, 17, 110, 6b64, navis-Ming-Qing_18341_0012-line-005-y1=567-y2=719.xml, 229, 296, 18, 107, 0.890531660693, 
1770, 1841, 28, 135, 5168, navis-Ming-Qing_18341_0012-line-006-y1=710-y2=862.xml, 1773, 1838, 29, 136, 0.899243017489, 
820, 896, 36, 122, 543e, navis-Ming-Qing_18341_0012-line-008-y1=993-y2=1142.xml, 822, 893, 37, 119, 0.890758873929, 
209, 292, 17, 91, 6c34, navis-Ming-Qing_18341_0014-line-009-y1=720-y2=830.xml, 212, 289, 2, 89, 0.759764286693, 
654, 736, 164, 236, 76ae, navis-Ming-Qing_18341_0016-line-001-y1=0-y2=282.xml, 656, 733, 164, 233, 0.899898373984, 
821, 899, 101, 187, 9152, navis-Ming-Qing_18341_0016-line-005-y1=760-y2=978.xml, 823, 898, 102, 187, 0.950357781753, 
92, 173, 100, 193, 5341, navis-Ming-Qing_18341_0018-line-005-y1=491-y2=705.xml, 95, 170, 101, 190, 0.886101154918, 
1146, 1231, 81, 166, 4eba, navis-Ming-Qing_18637_0002-line-001-y1=0-y2=198.xml, 1149, 1241, 82, 174, 0.782638336553, 
1643, 1733, 87, 179, 4eba, navis-Ming-Qing_18637_0002-line-001-y1=0-y2=198.xml, 1645, 1736, 87, 178, 0.936279667953, 
1243, 1340, 81, 181, 6240, navis-Ming-Qing_18637_0002-line-001-y1=0-y2=198.xml, 1245, 1337, 82, 178, 0.910515463918, 
850, 942, 77, 173, 5b50, navis-Ming-Qing_18637_0002-line-001-y1=0-y2=198.xml, 852, 939, 78, 170, 0.90625, 
1342, 1439, 86, 181, 4f5c, navis-Ming-Qing_18637_0002-line-001-y1=0-y2=198.xml, 1345, 1435, 87, 178, 0.888768312534, 
945, 1040, 40, 138, 5973, navis-Ming-Qing_18637_0002-line-002-y1=189-y2=352.xml, 947, 1039, 41, 135, 0.928893662728, 
944, 1040, 37, 135, 5927, navis-Ming-Qing_18637_0002-line-003-y1=343-y2=508.xml, 946, 1044, 38, 133, 0.912341642828, 
740, 835, 37, 137, 4e4b, navis-Ming-Qing_18637_0002-line-005-y1=649-y2=811.xml, 742, 832, 38, 134, 0.909473684211, 
1140, 1228, 36, 134, 5317, navis-Ming-Qing_18637_0002-line-007-y1=953-y2=1112.xml, 1142, 1225, 37, 131, 0.904684601113, 
148, 234, 92, 184, 4e0b, navis-Ming-Qing_18637_0003-line-001-y1=0-y2=215.xml, 144, 230, 93, 181, 0.873184898354, 
541, 638, 89, 190, 4e4b, navis-Ming-Qing_18637_0003-line-001-y1=0-y2=215.xml, 543, 635, 90, 187, 0.910891089109, 
542, 635, 40, 139, 5341, navis-Ming-Qing_18637_0003-line-006-y1=809-y2=967.xml, 544, 632, 41, 136, 0.908004778973, 
840, 936, 44, 142, 4f5c, navis-Ming-Qing_18637_0003-line-008-y1=1112-y2=1271.xml, 842, 933, 45, 141, 0.928571428571, 
466, 557, 29, 129, 5176, navis-Ming-Qing_18637_0004-line-004-y1=501-y2=658.xml, 468, 531, 30, 124, 0.650769230769, 
1160, 1248, 37, 132, 800c, navis-Ming-Qing_18637_0004-line-004-y1=501-y2=658.xml, 1155, 1244, 38, 129, 0.867158252978, 
958, 1053, 34, 142, 4e4b, navis-Ming-Qing_18637_0004-line-005-y1=649-y2=812.xml, 960, 1050, 35, 139, 0.912280701754, 
358, 450, 32, 132, 5176, navis-Ming-Qing_18637_0004-line-006-y1=803-y2=959.xml, 361, 453, 33, 132, 0.927766663157, 
1941, 2033, 54, 139, 5341, navis-Ming-Qing_18637_0004-line-006-y1=803-y2=959.xml, 1943, 2030, 55, 146, 0.867006762368, 
67, 154, 30, 126, 6b64, navis-Ming-Qing_18637_0004-line-006-y1=803-y2=959.xml, 69, 151, 31, 123, 0.903256704981, 
960, 1046, 46, 142, 77f3, navis-Ming-Qing_18637_0004-line-007-y1=950-y2=1251.xml, 959, 1043, 47, 139, 0.914710110206, 
353, 448, 28, 114, 4eca, navis-Ming-Qing_18637_0006-line-002-y1=176-y2=328.xml, 356, 444, 29, 126, 0.810752221981, 
1550, 1634, 27, 97, 751f, navis-Ming-Qing_18637_0006-line-003-y1=319-y2=481.xml, 1552, 1630, 28, 149, 0.541666666667, 
1944, 2031, 58, 145, 4e0d, navis-Ming-Qing_18637_0006-line-003-y1=319-y2=481.xml, 1947, 2027, 59, 150, 0.863345463672, 
656, 745, 41, 144, 5929, navis-Ming-Qing_18637_0006-line-003-y1=319-y2=481.xml, 659, 747, 42, 141, 0.909129738388, 
356, 452, 26, 111, 4e2d, navis-Ming-Qing_18637_0006-line-007-y1=795-y2=947.xml, 358, 455, 27, 108, 0.906104962513, 
255, 355, 32, 131, 592B, navis-Ming-Qing_18637_0006-line-009-y1=1087-y2=1251.xml, 258, 352, 33, 128, 0.90202020202, 
1336, 1423, 44, 129, 58EB, navis-Ming-Qing_18637_0006-line-010-y1=1242-y2=1388.xml, 1339, 1420, 45, 132, 0.890809112333, 
950, 1036, 61, 153, 5929, navis-Ming-Qing_18637_0007-line-001-y1=0-y2=183.xml, 949, 1041, 62, 153, 0.925277843462, 
451, 547, 60, 153, 82b3, navis-Ming-Qing_18637_0007-line-001-y1=0-y2=183.xml, 453, 543, 61, 150, 0.897177419355, 
1445, 1532, 39, 136, 5927, navis-Ming-Qing_18637_0007-line-004-y1=474-y2=639.xml, 1448, 1535, 40, 136, 0.924028875902, 
654, 737, 38, 133, 4eba, navis-Ming-Qing_18637_0007-line-005-y1=630-y2=786.xml, 657, 745, 39, 140, 0.812709391549, 
458, 549, 39, 139, 77f3, navis-Ming-Qing_18637_0007-line-005-y1=630-y2=786.xml, 457, 546, 40, 139, 0.947059462985, 
1058, 1140, 43, 132, 4eba, navis-Ming-Qing_18637_0007-line-008-y1=1077-y2=1244.xml, 1060, 1151, 44, 144, 0.752297499466, 
859, 953, 36, 119, 592B, navis-Ming-Qing_18637_0007-line-009-y1=1235-y2=1371.xml, 861, 950, 37, 126, 0.866231454006, 
1142, 1232, 57, 151, 53E4, navis-Ming-Qing_18637_0008-line-001-y1=0-y2=178.xml, 1145, 1229, 58, 148, 0.893617021277, 
1232, 1327, 57, 158, 4eca, navis-Ming-Qing_18637_0008-line-001-y1=0-y2=178.xml, 1234, 1324, 58, 155, 0.909848879625, 
148, 233, 57, 148, 5973, navis-Ming-Qing_18637_0008-line-001-y1=0-y2=178.xml, 151, 234, 58, 145, 0.912042955766, 
442, 543, 57, 152, 4f5c, navis-Ming-Qing_18637_0008-line-001-y1=0-y2=178.xml, 445, 539, 58, 149, 0.891505992705, 
936, 1026, 44, 144, 4eba, navis-Ming-Qing_18637_0008-line-005-y1=623-y2=791.xml, 938, 1029, 45, 141, 0.909560723514, 
1723, 1825, 51, 145, 540D, navis-Ming-Qing_18637_0008-line-006-y1=782-y2=944.xml, 1726, 1822, 52, 145, 0.931163954944, 
137, 228, 45, 110, 65e5, navis-Ming-Qing_18637_0008-line-007-y1=935-y2=1095.xml, 140, 225, 46, 107, 0.876584953508, 
552, 632, 30, 133, 6c34, navis-Ming-Qing_18637_0008-line-007-y1=935-y2=1095.xml, 536, 628, 31, 130, 0.765879478827, 
930, 1027, 47, 126, 51fa, navis-Ming-Qing_18637_0008-line-009-y1=1242-y2=1390.xml, 932, 1029, 48, 123, 0.911941635735, 
336, 427, 30, 131, 82b1, navis-Ming-Qing_18637_0008-line-009-y1=1242-y2=1390.xml, 338, 424, 31, 128, 0.907627026439, 
1525, 1615, 41, 131, 4eca, navis-Ming-Qing_18637_0008-line-009-y1=1242-y2=1390.xml, 1528, 1612, 42, 145, 0.80595084088, 
339, 428, 50, 144, 5927, navis-Ming-Qing_18637_0009-line-006-y1=775-y2=941.xml, 341, 434, 51, 151, 0.84501305483, 
235, 333, 61, 149, 7709, navis-Ming-Qing_18637_0009-line-006-y1=775-y2=941.xml, 237, 333, 62, 153, 0.927175843694, 
462, 551, 30, 128, 5e72, navis-Ming-Qing_18637_0010-line-002-y1=154-y2=315.xml, 464, 548, 31, 125, 0.905296950241, 
1749, 1830, 45, 140, 4e0b, navis-Ming-Qing_18637_0010-line-004-y1=459-y2=622.xml, 1751, 1827, 46, 137, 0.898765432099, 
757, 847, 38, 114, 5144, navis-Ming-Qing_18637_0010-line-004-y1=459-y2=622.xml, 759, 843, 40, 121, 0.836833602585, 
855, 941, 32, 136, 5973, navis-Ming-Qing_18637_0010-line-005-y1=613-y2=770.xml, 857, 944, 33, 135, 0.92627027027, 
56, 147, 33, 131, 5e72, navis-Ming-Qing_18637_0010-line-006-y1=761-y2=925.xml, 59, 144, 34, 128, 0.8959407939, 
851, 940, 28, 125, 9577, navis-Ming-Qing_18637_0010-line-008-y1=1077-y2=1234.xml, 850, 939, 29, 122, 0.937886775155, 
1539, 1634, 39, 133, 5973, navis-Ming-Qing_18637_0010-line-008-y1=1077-y2=1234.xml, 1542, 1630, 40, 133, 0.916461366181, 
56, 132, 34, 124, 5927, navis-Ming-Qing_18637_0010-line-009-y1=1225-y2=1366.xml, 58, 133, 34, 121, 0.929406669554, 
1236, 1335, 42, 124, 83ef, navis-Ming-Qing_18637_0010-line-009-y1=1225-y2=1366.xml, 1238, 1332, 43, 134, 0.840582910135, 
2043, 2139, 59, 120, 5176, navis-Ming-Qing_18637_0011-line-005-y1=496-y2=656.xml, 2045, 2140, 24, 117, 0.590107154454, 
1247, 1338, 46, 143, 77f3, navis-Ming-Qing_18637_0012-line-002-y1=154-y2=314.xml, 1245, 1335, 47, 143, 0.936689211664, 
943, 1037, 40, 147, 8a69, navis-Ming-Qing_18637_0012-line-005-y1=614-y2=778.xml, 946, 1033, 41, 144, 0.890932590972, 
1638, 1733, 44, 149, 82b3, navis-Ming-Qing_18637_0012-line-008-y1=1075-y2=1241.xml, 1641, 1730, 45, 146, 0.901152882206, 
1532, 1627, 38, 147, 5176, navis-Ming-Qing_18637_0013-line-006-y1=760-y2=924.xml, 1535, 1672, 9, 144, 0.510629385276, 
533, 620, 41, 135, -Min, navis-Ming-Qing_18637_0013-line-008-y1=1073-y2=1234.xml, 536, 616, 42, 132, 0.880410858401, 
2046, 2141, 59, 147, 6708, navis-Ming-Qing_18637_0014-line-003-y1=187-y2=355.xml, 2048, 2137, 60, 145, 0.90490430622, 
70, 149, 33, 118, 4e0d, navis-Ming-Qing_18637_0014-line-003-y1=187-y2=355.xml, 68, 146, 34, 115, 0.895157772284, 
864, 947, 30, 127, 77f3, navis-Ming-Qing_18637_0014-line-004-y1=346-y2=506.xml, 866, 946, 30, 124, 0.934045460191, 
1632, 1731, 40, 136, 592B, navis-Ming-Qing_18637_0014-line-007-y1=800-y2=953.xml, 1634, 1727, 41, 144, 0.862119437939, 
1061, 1143, 39, 135, 77f3, navis-Ming-Qing_18637_0014-line-007-y1=800-y2=953.xml, 1061, 1139, 40, 132, 0.911585365854, 
444, 541, 43, 138, 5C19, navis-Ming-Qing_18637_0014-line-009-y1=1097-y2=1265.xml, 446, 540, 44, 135, 0.928269126424, 
251, 343, 47, 142, 5148, navis-Ming-Qing_18637_0015-line-003-y1=340-y2=499.xml, 253, 346, 48, 144, 0.918766290182, 
262, 349, 52, 148, 4eba, navis-Ming-Qing_18637_0015-line-007-y1=943-y2=1108.xml, 264, 353, 26, 151, 0.72103914465, 
1651, 1732, 31, 130, 4eba, navis-Ming-Qing_18637_0015-line-007-y1=943-y2=1108.xml, 1654, 1732, 32, 127, 0.9240553685, 
1256, 1343, 38, 121, 53E4, navis-Ming-Qing_18637_0015-line-008-y1=1099-y2=1262.xml, 1258, 1341, 39, 130, 0.854166666667, 
1558, 1636, 31, 116, 5144, navis-Ming-Qing_18637_0015-line-008-y1=1099-y2=1262.xml, 1559, 1634, 32, 121, 0.899357601713, 
2040, 2137, 51, 141, 96c5, navis-Ming-Qing_18637_0016-line-003-y1=332-y2=490.xml, 2042, 2133, 52, 142, 0.918149869629, 
1943, 2037, 49, 141, 800c, navis-Ming-Qing_18637_0016-line-003-y1=332-y2=490.xml, 1945, 2034, 50, 138, 0.905642923219, 
1933, 2023, 55, 142, 751f, navis-Ming-Qing_18637_0016-line-004-y1=481-y2=640.xml, 1936, 2019, 56, 142, 0.911621966794, 
1334, 1420, 44, 135, 751f, navis-Ming-Qing_18637_0016-line-006-y1=791-y2=954.xml, 1336, 1416, 45, 132, 0.889343214925, 
1432, 1521, 55, 138, 4e2d, navis-Ming-Qing_18637_0016-line-008-y1=1090-y2=1256.xml, 1434, 1517, 56, 135, 0.887640449438, 
1637, 1721, 65, 131, 65e5, navis-Ming-Qing_18637_0016-line-008-y1=1090-y2=1256.xml, 1639, 1718, 65, 128, 0.897727272727, 
842, 939, 57, 148, 4f5c, navis-Ming-Qing_18637_0017-line-001-y1=0-y2=172.xml, 845, 936, 58, 145, 0.896907216495, 
943, 1038, 50, 142, 540D, navis-Ming-Qing_18637_0017-line-002-y1=163-y2=325.xml, 946, 1034, 11, 139, 0.643443969767, 
62, 145, 46, 141, 5929, navis-Ming-Qing_18637_0017-line-004-y1=478-y2=636.xml, 63, 144, 47, 143, 0.946191127128, 
1642, 1728, 20, 117, 58EB, navis-Ming-Qing_18637_0017-line-005-y1=627-y2=779.xml, 1644, 1724, 21, 114, 0.891872452649, 
1546, 1641, 20, 119, 5973, navis-Ming-Qing_18637_0017-line-005-y1=627-y2=779.xml, 1549, 1640, 21, 116, 0.919191919192, 
658, 747, 50, 146, 5e72, navis-Ming-Qing_18637_0017-line-006-y1=770-y2=938.xml, 660, 744, 51, 143, 0.904494382022, 
1658, 1751, 17, 109, 5927, navis-Ming-Qing_18637_0017-line-008-y1=1082-y2=1244.xml, 1660, 1748, 13, 106, 0.879209699147, 
1160, 1250, 39, 128, 5973, navis-Ming-Qing_18637_0017-line-008-y1=1082-y2=1244.xml, 1163, 1249, 40, 125, 0.912609238452, 
1952, 2048, 17, 101, 4f5c, navis-Ming-Qing_18637_0017-line-008-y1=1082-y2=1244.xml, 1888, 2045, 10, 139, 0.38098024872, 
1542, 1637, 57, 139, 5973, navis-Ming-Qing_18637_0018-line-001-y1=0-y2=163.xml, 1544, 1639, 58, 136, 0.91291215706, 
1448, 1534, 45, 135, 5929, navis-Ming-Qing_18637_0018-line-003-y1=307-y2=471.xml, 1450, 1530, 46, 132, 0.888888888889, 
554, 645, 34, 130, 5e72, navis-Ming-Qing_18637_0018-line-004-y1=462-y2=627.xml, 557, 642, 35, 127, 0.895146520147, 
56, 142, 38, 125, 7a7a, navis-Ming-Qing_18637_0018-line-007-y1=920-y2=1081.xml, 58, 138, 39, 122, 0.887463245122, 
551, 627, 37, 125, 4eba, navis-Ming-Qing_18637_0018-line-007-y1=920-y2=1081.xml, 554, 626, 38, 122, 0.904306220096, 
943, 1032, 90, 186, 751f, navis-Ming-Qing_18637_0019-line-001-y1=0-y2=221.xml, 946, 1029, 91, 183, 0.89372659176, 
1930, 2023, 71, 170, 9577, navis-Ming-Qing_18637_0019-line-001-y1=0-y2=221.xml, 1932, 2019, 72, 167, 0.897686542848, 
56, 149, 32, 142, 4eca, navis-Ming-Qing_18637_0019-line-002-y1=212-y2=371.xml, 58, 146, 33, 139, 0.911827956989, 
1746, 1828, 78, 144, 4e0b, navis-Ming-Qing_18637_0019-line-004-y1=512-y2=679.xml, 1743, 1826, 31, 150, 0.527525227295, 
1840, 1924, 77, 133, 540C, navis-Ming-Qing_18637_0019-line-004-y1=512-y2=679.xml, 1711, 1975, 12, 151, 0.128188358404, 
1936, 2027, 72, 139, 4f5c, navis-Ming-Qing_18637_0019-line-004-y1=512-y2=679.xml, 1938, 2024, 44, 147, 0.626781246601, 
472, 546, 40, 135, 6c34, navis-Ming-Qing_18637_0019-line-005-y1=670-y2=828.xml, 454, 543, 41, 132, 0.745385325335, 
653, 743, 46, 132, 4e2d, navis-Ming-Qing_18637_0019-line-006-y1=819-y2=971.xml, 655, 739, 46, 129, 0.900775193798, 
1449, 1534, 34, 121, 4e0d, navis-Ming-Qing_18637_0019-line-006-y1=819-y2=971.xml, 1449, 1531, 35, 118, 0.920351588911, 
455, 543, 41, 129, 4e0b, navis-Ming-Qing_18637_0019-line-009-y1=1133-y2=1288.xml, 458, 539, 42, 126, 0.878615702479, 
953, 1042, 33, 129, 76f8, navis-Ming-Qing_18637_0019-line-009-y1=1133-y2=1288.xml, 955, 1039, 13, 126, 0.764084507042, 
1747, 1842, 23, 115, 5f97, navis-Ming-Qing_18637_0019-line-009-y1=1133-y2=1288.xml, 1750, 1839, 24, 112, 0.896109839817, 
1942, 2024, 17, 111, 4eba, navis-Ming-Qing_18637_0019-line-009-y1=1133-y2=1288.xml, 1933, 2022, 13, 138, 0.664722001238, 
1449, 1533, 17, 91, 6b64, navis-Ming-Qing_18637_0020-line-003-y1=254-y2=369.xml, 1452, 1530, 2, 88, 0.749796913079, 
1940, 2024, 26, 94, 8db3, navis-Ming-Qing_18637_0020-line-007-y1=719-y2=894.xml, 1942, 2020, 27, 105, 0.795433789954, 
852, 934, 20, 91, 9149, navis-Ming-Qing_18637_0020-line-009-y1=1087-y2=1232.xml, 852, 933, 21, 88, 0.932153899004, 
1141, 1231, 25, 94, 672a, navis-Ming-Qing_18637_0020-line-009-y1=1087-y2=1232.xml, 1144, 1227, 26, 132, 0.602733874413, 
444, 530, 21, 108, 751f, navis-Ming-Qing_18637_0021-line-006-y1=541-y2=678.xml, 446, 527, 22, 105, 0.898556535686, 
2018, 2116, 17, 100, 53CB, navis-Ming-Qing_18637_0021-line-006-y1=541-y2=678.xml, 2020, 2128, 2, 96, 0.708652588301, 
1632, 1717, 17, 101, 9593, navis-Ming-Qing_18637_0021-line-006-y1=541-y2=678.xml, 1631, 1722, 15, 98, 0.881787909836, 
547, 634, 40, 130, 4e2d, navis-Ming-Qing_18637_0021-line-007-y1=669-y2=825.xml, 549, 630, 41, 127, 0.889655172414, 
1839, 1933, 26, 128, 800c, navis-Ming-Qing_18637_0021-line-007-y1=669-y2=825.xml, 1835, 1929, 27, 125, 0.88376753507, 
1341, 1426, 38, 139, 751f, navis-Ming-Qing_18637_0021-line-008-y1=816-y2=972.xml, 1343, 1423, 39, 138, 0.922539312755, 
648, 739, 40, 139, 98ee, navis-Ming-Qing_18637_0021-line-008-y1=816-y2=972.xml, 651, 748, 13, 139, 0.695902228613, 
1054, 1140, 40, 133, 4e0d, navis-Ming-Qing_18637_0021-line-008-y1=816-y2=972.xml, 1069, 1137, 10, 130, 0.609683203825, 
1249, 1339, 36, 135, 6240, navis-Ming-Qing_18637_0021-line-008-y1=816-y2=972.xml, 1251, 1347, 37, 138, 0.863955119215, 
1130, 1220, 37, 137, 9577, navis-Ming-Qing_18637_0021-line-009-y1=963-y2=1133.xml, 1131, 1217, 38, 134, 0.917333333333, 
449, 543, 51, 150, 800c, navis-Ming-Qing_18637_0021-line-009-y1=963-y2=1133.xml, 451, 540, 52, 148, 0.918117343649, 
630, 718, 40, 97, 51fa, navis-Ming-Qing_18637_0021-line-011-y1=1284-y2=1419.xml, 632, 718, 41, 94, 0.908692185008, 
824, 911, 30, 118, 8db3, navis-Ming-Qing_18637_0021-line-011-y1=1284-y2=1419.xml, 826, 912, 31, 132, 0.826534033754, 
2039, 2128, 58, 144, 4e0b, navis-Ming-Qing_18637_0022-line-004-y1=463-y2=624.xml, 2041, 2125, 59, 144, 0.932845570943, 
586, 668, 43, 136, 4e0d, navis-Ming-Qing_18637_0022-line-004-y1=463-y2=624.xml, 579, 665, 44, 133, 0.852345738877, 
562, 650, 43, 136, 4eba, navis-Ming-Qing_18637_0022-line-009-y1=1226-y2=1386.xml, 565, 653, 17, 134, 0.71986970684, 
1842, 1937, 17, 111, 4eba, navis-Ming-Qing_18637_0023-line-006-y1=822-y2=984.xml, 1845, 1941, 12, 110, 0.874667757105, 
1060, 1149, 42, 129, 5e72, navis-Ming-Qing_18637_0023-line-009-y1=1265-y2=1485.xml, 1062, 1146, 43, 133, 0.894170070553, 
1550, 1646, 31, 124, 5341, navis-Ming-Qing_18637_0023-line-009-y1=1265-y2=1485.xml, 1553, 1642, 32, 121, 0.887208781362, 
1462, 1550, 53, 152, 9577, navis-Ming-Qing_18637_0024-line-003-y1=317-y2=486.xml, 1463, 1548, 54, 149, 0.926882460973, 
1857, 1941, 77, 140, 65e5, navis-Ming-Qing_18637_0024-line-003-y1=317-y2=486.xml, 1859, 1937, 34, 137, 0.541290770298, 
372, 461, 52, 113, 65e5, navis-Ming-Qing_18637_0024-line-007-y1=925-y2=1093.xml, 375, 458, 53, 110, 0.8714312028, 
572, 652, 30, 130, 5929, navis-Ming-Qing_18637_0024-line-008-y1=1084-y2=1250.xml, 571, 653, 31, 127, 0.9375, 
1929, 2024, 30, 127, 4f5c, navis-Ming-Qing_18637_0025-line-002-y1=173-y2=335.xml, 1931, 2021, 31, 124, 0.90830168204, 
962, 1041, 36, 126, 4eba, navis-Ming-Qing_18637_0025-line-007-y1=943-y2=1100.xml, 964, 1051, 37, 133, 0.796027413172, 
